"line_code","env_code","DTA","DTS","PH","EH","grain_moisture","yield_bu_ac"
"MO44_PHW65_0193/CG102","MNH1_14",68.8627676594801,70.1150250277999,174.617897089036,69.8328090870697,22.1834869840004,117.621233161766
"MOG_LH145_0006/CG102","MNH1_14",69.6566101650985,70.6375998915251,191.770724453363,104.762428304765,24.1663329798776,119.771028927625
"MOG_LH145_0038/CG102","MNH1_14",70.0381376819537,71.2053244827006,202.229206546345,96.5512859578528,22.9148709675092,143.294024925201
"MOG_LH145_0162/CG102","MNH1_14",71.0381376819537,72.2053244827006,180.229206546345,67.5512859578528,23.5148709675092,119.771357125201
"MOG_LH145_0173/CG102","MNH1_14",69.0381376819537,70.2053244827006,202.229206546345,82.5512859578528,22.9148709675092,126.149869425201
"MOG_LH145_0175/CG102","MNH1_14",71.0381376819537,71.2053244827006,208.229206546345,110.551285957853,22.7148709675092,84.7158170252008
"MOG_MO45-085-1-1-1-1-B/CG102","MNH1_14",70.7158464066709,72.1037375959373,180.541483406873,80.6179994782218,23.7920639860618,107.851030528837
"MOG_NC230-011-1-1-1-1-B/CG102","MNH1_14",71.0381376819537,72.2053244827006,207.229206546345,91.5512859578528,25.1148709675092,126.679431525201
"MOG_NC230-183-1-1-1-1-B/CG102","MNH1_14",71.0381376819537,72.2053244827006,185.229206546345,79.5512859578528,28.2148709675092,115.270748525201
"MOG_OH43_0071/CG102","MNH1_14",71.1566101650985,72.6375998915251,192.270724453363,78.7624283047655,26.5163329798776,118.507795627625
"MOG_OH43_0170/CG102","MNH1_14",68.0381376819537,70.2053244827006,195.229206546345,82.5512859578528,25.1148709675092,147.817563425201
"MOG_OH43_0439/CG102","MNH1_14",72.0381376819537,73.2053244827006,180.229206546345,82.5512859578528,23.5148709675092,84.7171560252009
"MOG_PHG83-014-1-1-1-1-B/CG102","MNH1_14",71.0381376819537,72.2053244827006,183.229206546345,82.5512859578528,24.6148709675092,114.600678325201
"MOG_PHG83-211-1-1-1-1-B/CG102","MNH1_14",71.0381376819537,72.2053244827006,198.229206546345,94.5512859578528,24.2148709675092,109.475357125201
"PB80/CG102","MNH1_14",71.9841031950489,73.8003932929953,181.528376117954,80.8446835347919,25.2047230576729,115.969497386064
"PHG39/PHG35","MNH1_14",76.4841031950483,78.312013088582,201.267914280661,97.3244247899983,25.1124630058094,133.680037224896
"PHG39/PHM49","MNH1_14",76.3135559432105,77.282763449445,200.789391617461,88.5160696966943,26.1869752307149,125.396532599416
"PHG39/PHN82","MNH1_14",76.4841031950483,78.312013088582,180.767914280661,83.3244247899983,26.9124630058094,127.737694039896
"PHG39/TX205","MNH1_14",76.9841031950483,78.312013088582,213.767914280661,96.3244247899982,25.2624630058094,79.5195892298963
"PHN11_LH145_0002/CG102","MNH1_14",67.0689251538617,68.5924501640748,185.631736391376,73.9031898693739,23.8839743214565,130.925674895907
"PHN11_LH145_0003/CG102","MNH1_14",65.2750826482433,68.0698753003496,159.312242360382,55.9735706516782,21.917794992246,99.5020617300485
"PHN11_LH145_0005/CG102","MNH1_14",66.6566101650985,68.6375998915251,176.270724453363,69.2624283047655,20.7663329798776,94.4406278276247
"PHN11_LH145_0028/CG102","MNH1_14",66.8627676594801,69.1150250277999,173.284563755703,67.166142420403,18.6834869840004,105.801877261766
"PHN11_LH145_0036/CG102","MNH1_14",68.0381376819537,69.2053244827006,150.229206546345,33.5512859578528,22.8148709675092,132.054386725201
"PHN11_LH145_0058/CG102","MNH1_14",65.6566101650985,68.1375998915251,166.270724453363,66.7624283047655,22.6663329798776,109.322888627625
"PHN11_LH145_0062/CG102","MNH1_14",67.6566101650985,69.6375998915251,173.770724453363,62.7624283047655,22.1163329798776,117.269124077625
"PHN11_LH145_0085/CG102","MNH1_14",69.1961009928134,70.4483583611333,198.284563755703,72.166142420403,20.4834869840004,120.534243261766
"PHN11_OH43_0001/CG102","MNH1_14",67.1566101650985,69.1375998915251,194.770724453363,76.2624283047655,24.1663329798776,130.019077127625
"PHN11_OH43_0036/CG102","MNH1_14",68.1566101650985,69.6375998915251,171.770724453363,57.2624283047655,22.0663329798776,114.773788477625
"PHN11_OH43_0075/CG102","MNH1_14",69.6566101650985,71.1375998915251,187.270724453363,82.2624283047655,23.1663329798776,133.097784677625
"PHN11_OH43_0088/CG102","MNH1_14",68.0381376819537,70.2053244827006,194.229206546345,67.5512859578528,25.9148709675092,154.201431525201
"PHN11_OH43_0142/CG102","MNH1_14",66.1566101650985,69.1375998915251,184.270724453363,72.2624283047655,24.3163329798776,146.167625727625
